Zip,Date,median_SP,Area,median_LP,median_dom,median_dollar_sqft,ratio,sale_price_change,sale_perc_change,lease_price_change,lease_perc_change,income_2023,income_2017,income_diff,income_pct_change,Bldg-Demolition_Issued,Bldg-Demolition_Permit Finaled,Bldg-New_Issued,Bldg-New_Permit Finaled
90001,02-01-25,775000,Florence,2900,63,441.55,22.27,95000,12.26,76,2.62,60751,35660,25091,70.3617500000000,2,80,5,0
90002,02-01-25,518000,Watts,2795,61,289.39,15.44,-162000,-31.27,147,5.26,56158,34000,22158,65.1705880000000,25,82,36,1
90003,02-01-25,619500,Florence,1800,33,416.35,28.68,-50500,-8.15,-672,-37.33,54781,34397,20384,59.2609820000000,16,268,59,2
90004,02-01-25,2300000,Mid Wilshire,3445,113,385.65,55.64,265000,11.52,-55,-1.6,62655,46581,16074,34.5076320000000,29,244,67,1
90005,02-01-25,4325000,Hancock Park,2675,128,178.72,134.74,2787500,64.45,875,32.71,52755,32461,20294,62.5180990000000,9,46,18,1
90006,02-01-25,1165000,Mid Wilshire,2219,97,296.49,43.75,125000,10.73,429,19.33,49847,33790,16057,47.5199760000000,19,180,41,5
90007,02-01-25,1600000,West Adams,2600,199,529.1,51.28,-570000,-35.62,-722,-27.77,36032,23070,12962,56.1855220000000,32,87,56,1
90008,02-01-25,1147500,Baldwin Hills,2800,113,269.1,34.15,-2152500,-187.58,928,33.14,61822,36641,25181,68.7235610000000,11,18,32,2
90011,02-01-25,995000,South Central,2762,72,350.47,30.02,394500,39.65,-338,-12.24,53781,33824,19957,59.0024830000000,17,199,76,1
90016,02-01-25,1200000,Crenshaw,3000,16,402.41,33.33,-450000,-37.5,600,20,71067,43443,27624,63.5867690000000,41,176,86,4
90018,02-01-25,917500,Mid LA,2900,65,503.33,26.36,125000,13.62,-197,-6.79,63671,37341,26330,70.5123060000000,18,97,54,0
90019,02-01-25,1365750,Mid LA,3550,29,440.23,32.06,-91750,-6.72,-45,-1.27,71395,50671,20724,40.8991340000000,26,192,86,2
90020,02-01-25,2109915,Wilshire Center,3400,104,235.59,51.71,-10390085,-492.44,300,8.82,55832,42407,13425,31.6575090000000,10,28,9,0
90023,02-01-25,740000,Boyle Heights,4000,86,342.59,15.42,130000,17.57,2005,50.12,56623,40225,16398,40.7656930000000,5,44,17,0
90025,02-01-25,1948625,West LA,4495,24,515.52,36.13,698625,35.85,1098,24.43,104627,78713,25914,32.9221350000000,14,159,50,1
90026,02-01-25,1180000,Silver Lake - Echo Park,4599,18,532.77,21.38,62200,5.27,1449,31.51,85835,54342,31493,57.9533330000000,31,186,148,7
90027,02-01-25,1150000,Los Feliz,4297,81,552.88,22.3,-303533.33,-26.39,950,22.11,90532,58344,32188,55.1693400000000,18,94,41,4
90028,02-01-25,1400000,Hollywood,3299,28,377.16,35.36,-389266.67,-27.8,604,18.31,59393,40068,19325,48.2305080000000,14,89,37,1
90029,02-01-25,3832000,Hollywood,3997,42,414.32,79.89,1707000,44.55,1797,44.96,60793,37379,23414,62.6394500000000,20,109,64,0
90031,02-01-25,997690,Lincoln Heights,3117,25,498.99,26.67,132690,13.3,467,14.98,62119,41126,20993,51.0455670000000,7,40,80,7
90033,02-01-25,830000,Boyle Heights,3375,42,386.77,20.49,139000,16.75,-347.5,-10.3,56001,31683,24318,76.7540950000000,24,71,35,0
90034,02-01-25,1162000,Palms Mar Visa,3950,4,302.05,24.51,-448000,-38.55,-500,-12.66,103082,65572,37510,57.2042950000000,17,153,56,4
90036,02-01-25,1565000,Miracle Mile,4650,21,489.98,28.05,-535000,-34.19,1300,27.96,102877,74279,28598,38.5007880000000,11,142,36,3
90037,02-01-25,695000,Los Angeles Southwest,4200,21,350.14,13.79,-257000,-36.98,1000,23.81,56417,31045,25372,81.7265260000000,33,144,56,1
90042,02-01-25,1620000,Eagle Rock,3950,13,475.37,34.18,745000,45.99,450,11.39,94401,55596,38805,69.7981870000000,11,74,92,5
90044,02-01-25,725000,Westmont,3047,44,315.84,19.83,40000,5.52,100,3.28,51433,32278,19155,59.3438260000000,15,178,47,3
90046,02-01-25,1810000,West Hollywood,4795,104,426.51,31.46,27480,1.52,545,11.37,94259,65990,28269,42.8383090000000,17,141,57,2
90047,02-01-25,731000,Westmont,2200,45,428.57,27.69,61000,8.34,300,13.64,70187,42551,27636,64.9479450000000,15,65,38,1
90057,02-01-25,3255000,Westlake,2600,73,291.48,104.33,2052000,63.04,-16.33,-0.63,44876,31337,13539,43.2045190000000,21,22,10,0
90061,02-01-25,725000,Compton,3950,41,437.73,15.3,-77500,-10.69,1401,35.47,60114,37126,22988,61.9188710000000,0,63,21,0
90062,02-01-25,770000,Vermont Square,2100,43,285.07,30.56,-5000,-0.65,-422,-20.1,63652,40018,23634,59.0584240000000,9,61,34,1
90063,02-01-25,820000,Boyle Heights,3422,43,532.47,19.97,107500,13.11,1195,34.92,71725,44121,27604,62.5643120000000,0,3,9,0
90065,02-01-25,1743000,Glassell Park,4950,81,487.77,29.34,884000,50.72,975,19.7,92903,58405,34498,59.06686100000,12,34,116,0
90068,02-01-25,1655000,Los Feliz,8395,34,388.48,16.43,-280000,-16.92,2995,35.68,101720,82718,19002,22.9720250000000,9,24,53,3
90220,02-01-25,1092500,Compton,1750,75,416.56,52.02,562600,51.5,-950,-54.29,77535,54014,23521,43.5461180000000,no data,no data,no data,no data
90221,02-01-25,1284000,Compton,2333.33,42,275.16,45.86,504000,39.25,-400,-17.14,68191,46008,22183,48.2155280000000,no data,no data,no data,no data
90247,02-01-25,1827500,Gardena,3200,41,453.52,47.59,1147500,62.79,750,23.44,73851,46076,27775,60.2808400000000,0,5,18,0
90255,02-01-25,892500,Huntington Park,2300,61,310.13,32.34,91800,10.29,500,21.74,61376,40325,21051,52.203348000000,no data,no data,no data,no data
90301,02-01-25,899000,Inglewood,1822,462,548.17,41.12,-711000,-79.09,-478,-26.23,62991,42100,20891,49.6223280000000,no data,no data,no data,no data
90304,02-01-25,710000,Inglewood,3463,34,366.74,17.09,-614625,-86.57,-869.67,-25.11,63317,41054,22263,54.2285770000000,no data,no data,no data,no data
90731,02-01-25,1107500,San Pedro,2750,113,377.86,33.56,262500,23.7,550,20,71936,49464,22472,45.4310210000000,25,45,28,1
90744,02-01-25,1248000,Wilmington,2445,67,232.14,42.54,636000,50.96,-80,-3.27,61440,43284,18156,41.9462160000000,10,36,49,6
90802,02-01-25,1225000,Long Beach,2972,76,310.38,34.35,155000,12.65,925,31.12,72152,51302,20850,40.6416900000000,no data,no data,no data,no data
90805,02-01-25,800000.00000,Long Beach,2275,63,335.04,29.3,42500,5.31,-315,-13.85,68615,47981,20634,43.0045230000000,no data,no data,no data,no data
90806,02-01-25,1470000,Long Beach,1950,23,237.79,62.82,-930000,-63.27,450,23.08,73674,50615,23059,45.5576410000000,no data,no data,no data,no data
90810,02-01-25,845000,Long Beach,3147,15,559.76,22.38,-272000,-32.19,1475,46.87,82222,56061,26161,46.6652400000000,no data,no data,no data,no data
90813,02-01-25,1130000,Long Beach,2100,36,359.88,44.84,96000,8.5,-137,-6.52,50302,34257,16045,46.8371430000000,no data,no data,no data,no data
91042,02-01-25,967500,Tujunga,3500,42,534.36,23.04,-507500,-52.45,-250,-7.14,81707,53412,28295,52.9749870000000,3,33,33,2
91101,02-01-25,2453000,Pasadena,3875,43,487.67,52.75,992000,40.44,1425,36.77,94180,64223,29957,46.6452830000000,no data,no data,no data,no data
91103,02-01-25,1200000,Pasadena,3297,61,439.56,30.33,-247000,-20.58,-253,-7.67,84683,69334,15349,22.1377680000000,no data,no data,no data,no data
91104,02-01-25,1220000,Altadena,4199,177,540.78,24.21,-213000,-17.46,1699,40.46,103052,72189,30863,42.7530510000000,no data,no data,no data,no data
91106,02-01-25,1575000,Pasadena,3400,16,470.99,38.6,109200,6.93,105,3.09,89213,77380,11833,15.2920650000000,no data,no data,no data,no data
91202,02-01-25,3546000,Glendale,2800,15,402.22,105.54,2031000,57.28,-400,-14.29,92343,66657,25686,38.5345880000000,no data,no data,no data,no data
91203,02-01-25,2220000,Glendale,2450,167,374.43,75.51,970000,43.69,-275,-11.22,77925,51360,26565,51.7231310000000,no data,no data,no data,no data
91204,02-01-25,925000,Glendale,2475,77,498.65,31.14,-650000,-70.27,334,13.49,72906,44304,28602,64.5585050000000,no data,no data,no data,no data
91342,02-01-25,1820000,Lake View Terrace,3300,72,449.49,45.96,958750,52.68,1302.5,39.47,95480,68600,26880,39.1836730000000,8,35,109,4
91401,02-01-25,1120000,Van Nuys,4300,41,330.88,21.71,-5000,-0.45,803,18.67,75933,51784,24149,46.6340950000000,12,84,38,0
91402,02-01-25,2572500,Van Nuys,2825,67,213.08,75.88,1490000,57.92,725,25.66,56369,41669,14700,35.2780240000000,8,22,41,1
91405,02-01-25,1155000,Van Nuys,3450,189,444.23,27.9,200000.00000,17.32,950,27.54,61207,41283,19924,48.2619960000000,9,55,43,1
91411,02-01-25,731750,Van Nuys,3690,110,390.89,16.53,-848250,-115.92,1095,29.67,77582,50332,27250,54.1405070000000,8,76,19,0
91501,02-01-25,2330000,Burbank,3375,78,499.58,57.53,1106000,47.47,775,22.96,85419,64006,21413,33.4546760000000,no data,no data,no data,no data
91504,02-01-25,975000,Burbank,4475,94,438.99,18.16,107000,10.97,2238,50.01,103164,73501,29663,40.3572740000000,0,0,8,0
91601,02-01-25,1550000,North Hollywood,4185,8,369.58,30.86,350000,22.58,1385,33.09,77540,50832,26708,52.541706000000,40,204,97,2
91605,02-01-25,2312500,North Hollywood,3250,88,234.31,59.29,1322500,57.19,550,16.92,64539,43004,21535,50.0767370000000,8,86,93,0
91607,02-01-25,960000,North Hollywood,5422,42,504.73,14.75,-1890000,-196.88,2827,52.14,84925,60772,24153,39.7436320000000,10,104,48,1
91801,02-01-25,1300000,Alhambra,3400,172,463.01,31.86,-535000,-41.15,800,23.53,85549,53644,31905,59.475431000000,no data,no data,no data,no data
,,,,,,,,,,,,,,,,,,,

